timestamp,topic,message
2025-11-27T10:49:25.714000+00:00,bhkw/error,False
2025-11-27T10:49:25.715000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:26.643000+00:00,bhkw/warning,True
2025-11-27T10:49:26.695000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:26.697000+00:00,bhkw/sollwert,70
2025-11-27T10:49:26.699000+00:00,bhkw/error,False
2025-11-27T10:49:26.700000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:27.668000+00:00,bhkw/warning,True
2025-11-27T10:49:27.702000+00:00,bhkw/sollwert,70
2025-11-27T10:49:27.703000+00:00,bhkw/error,False
2025-11-27T10:49:27.703000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:27.703000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:28.647000+00:00,bhkw/warning,True
2025-11-27T10:49:28.687000+00:00,bhkw/sollwert,70
2025-11-27T10:49:28.688000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:28.698000+00:00,bhkw/error,False
2025-11-27T10:49:28.703000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:29.663000+00:00,bhkw/warning,True
2025-11-27T10:49:29.697000+00:00,bhkw/sollwert,70
2025-11-27T10:49:29.699000+00:00,bhkw/error,False
2025-11-27T10:49:29.700000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:29.704000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:30.642000+00:00,bhkw/warning,True
2025-11-27T10:49:30.687000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:30.692000+00:00,bhkw/sollwert,70
2025-11-27T10:49:30.711000+00:00,bhkw/error,False
2025-11-27T10:49:30.716000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:31.661000+00:00,bhkw/warning,True
2025-11-27T10:49:31.698000+00:00,bhkw/sollwert,70
2025-11-27T10:49:31.700000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:31.700000+00:00,bhkw/error,False
2025-11-27T10:49:31.705000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:32.643000+00:00,bhkw/warning,True
2025-11-27T10:49:32.688000+00:00,bhkw/sollwert,70
2025-11-27T10:49:32.692000+00:00,bhkw/temperatur/vorlauf,70.9
2025-11-27T10:49:32.695000+00:00,bhkw/error,False
2025-11-27T10:49:32.727000+00:00,bhkw/temperatur/ruecklauf,31.4
2025-11-27T10:49:33.660000+00:00,bhkw/warning,True
2025-11-27T10:49:33.698000+00:00,bhkw/temperatur/vorlauf,70.9
