timestamp,topic,message
2025-11-27T12:31:40.736000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:40.739000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:41.671000+00:00,bhkw/warning,True
2025-11-27T12:31:41.720000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:41.724000+00:00,bhkw/leistung/thermisch/ist,28.58
2025-11-27T12:31:41.724000+00:00,bhkw/error,False
2025-11-27T12:31:41.732000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:42.686000+00:00,bhkw/warning,True
2025-11-27T12:31:42.700000+00:00,bhkw/error,False
2025-11-27T12:31:42.700000+00:00,bhkw/leistung/thermisch/ist,28.58
2025-11-27T12:31:42.715000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:42.730000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:43.669000+00:00,bhkw/warning,True
2025-11-27T12:31:43.700000+00:00,bhkw/error,False
2025-11-27T12:31:43.712000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:43.713000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:43.728000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:44.667000+00:00,bhkw/warning,True
2025-11-27T12:31:44.701000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:44.703000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:44.704000+00:00,bhkw/error,False
2025-11-27T12:31:44.734000+00:00,bhkw/temperatur/ruecklauf,30.6
unknown,command/bhkw/einschaltpunkt,60
unknown,command/bhkw/ausschaltpunkt,30
2025-11-27T12:46:40.106997+00:00,feedback/bhkw/einschaltpunkt,Validation successfull
2025-11-27T12:46:40.107539+00:00,feedback/bhkw/ausschaltpunkt,Validation successfull
2025-11-27T12:31:45.668000+00:00,bhkw/warning,True
2025-11-27T12:31:45.711000+00:00,bhkw/error,False
2025-11-27T12:31:45.716000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:45.720000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:45.736000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:46.676000+00:00,bhkw/warning,True
2025-11-27T12:31:46.692000+00:00,bhkw/error,False
2025-11-27T12:31:46.703000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:46.706000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:46.737000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:47.675000+00:00,bhkw/warning,True
2025-11-27T12:31:47.711000+00:00,bhkw/error,False
2025-11-27T12:31:47.711000+00:00,bhkw/einschaltpunkt,60
2025-11-27T12:31:47.712000+00:00,bhkw/leistung/thermisch/ist,0
2025-11-27T12:31:47.714000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:47.736000+00:00,bhkw/temperatur/ruecklauf,30.6
